# Pion Beam-Spin Asymmetry (KIN-1-FINAL)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
123  15  4  28.80  21.60  36.00  17.50  15.00  20.00  1045.250000  33.146500  1041.000000  33.124800  0.002037  0.022462 
124  16  4  43.20  36.00  50.40  17.50  15.00  20.00  1005.500000  32.421100  934.000000  31.269000  0.036865  0.023209 
125  17  4  57.60  50.40  64.80  17.50  15.00  20.00  819.250000  29.007500  718.750000  27.139700  0.065345  0.025771 
126  18  4  72.00  64.80  79.20  17.50  15.00  20.00  432.250000  21.052000  399.250000  20.222200  0.039687  0.035078 
127  19  4  86.40  79.20  93.60  17.50  15.00  20.00  242.750000  15.789600  204.000000  14.326500  0.086738  0.047501 
128  20  4  100.80  93.60  108.00  17.50  15.00  20.00  71.500000  8.492640  59.250000  7.758060  0.093690  0.087617 
129  21  4  115.20  108.00  122.40  17.50  15.00  20.00  10.750000  3.326030  14.000000  3.741660  -0.131313  0.200899 
130  22  4  129.60  122.40  136.80  17.50  15.00  20.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
131  23  4  144.00  136.80  151.20  17.50  15.00  20.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
132  24  4  158.40  151.20  165.60  17.50  15.00  20.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
133  25  4  172.80  165.60  180.00  17.50  15.00  20.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
136  1  5  -172.80  -180.00  -165.60  22.50  20.00  25.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
137  2  5  -158.40  -165.60  -151.20  22.50  20.00  25.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
138  3  5  -144.00  -151.20  -136.80  22.50  20.00  25.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
139  4  5  -129.60  -136.80  -122.40  22.50  20.00  25.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
140  5  5  -115.20  -122.40  -108.00  22.50  20.00  25.00  1.000000  1.000000  3.000000  1.732050  -0.500000  0.433013 
141  6  5  -100.80  -108.00  -93.60  22.50  20.00  25.00  22.000000  4.821830  24.750000  5.006250  -0.058824  0.148608 
142  7  5  -86.40  -93.60  -79.20  22.50  20.00  25.00  159.000000  12.708300  178.000000  13.527700  -0.056380  0.054970 
143  8  5  -72.00  -79.20  -64.80  22.50  20.00  25.00  408.500000  20.503000  457.000000  21.667900  -0.056037  0.034414 
144  9  5  -57.60  -64.80  -50.40  22.50  20.00  25.00  683.500000  26.793200  776.500000  28.431900  -0.063699  0.026712 
145  10  5  -43.20  -50.40  -36.00  22.50  20.00  25.00  838.500000  29.776200  918.500000  31.110700  -0.045532  0.024486 
146  11  5  -28.80  -36.00  -21.60  22.50  20.00  25.00  894.500000  31.126800  909.750000  31.345900  -0.008452  0.024483 
147  12  5  -14.40  -21.60  -7.20  22.50  20.00  25.00  702.500000  28.029000  825.750000  30.142400  -0.080648  0.026863 
148  13  5  0.00  -7.20  7.20  22.50  20.00  25.00  759.500000  29.221100  706.000000  28.124700  0.036506  0.027654 
149  14  5  14.40  7.20  21.60  22.50  20.00  25.00  819.000000  30.045800  782.250000  29.465000  0.022951  0.026276 
150  15  5  28.80  21.60  36.00  22.50  20.00  25.00  899.500000  31.207000  756.250000  28.804300  0.086517  0.025567 
151  16  5  43.20  36.00  50.40  22.50  20.00  25.00  746.250000  28.278700  652.500000  26.422100  0.067024  0.027605 
152  17  5  57.60  50.40  64.80  22.50  20.00  25.00  486.250000  22.465300  466.750000  22.069500  0.020462  0.033040 
153  18  5  72.00  64.80  79.20  22.50  20.00  25.00  234.250000  15.578400  201.000000  14.439500  0.076393  0.048662 
154  19  5  86.40  79.20  93.60  22.50  20.00  25.00  84.000000  9.300540  64.750000  8.143250  0.129412  0.082376 
155  20  5  100.80  93.60  108.00  22.50  20.00  25.00  12.000000  3.464100  15.750000  4.007800  -0.135135  0.188895 
156  21  5  115.20  108.00  122.40  22.50  20.00  25.00  -0.250000  0.250000  0.750000  1.030780  -2.000000  2.549516 
157  22  5  129.60  122.40  136.80  22.50  20.00  25.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
158  23  5  144.00  136.80  151.20  22.50  20.00  25.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
159  24  5  158.40  151.20  165.60  22.50  20.00  25.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
160  25  5  172.80  165.60  180.00  22.50  20.00  25.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
163  1  6  -172.80  -180.00  -165.60  27.50  25.00  30.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
164  2  6  -158.40  -165.60  -151.20  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
165  3  6  -144.00  -151.20  -136.80  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
166  4  6  -129.60  -136.80  -122.40  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
167  5  6  -115.20  -122.40  -108.00  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
168  6  6  -100.80  -108.00  -93.60  27.50  25.00  30.00  1.750000  1.436140  0.000000  0.000000  1.000000  0.000000 
169  7  6  -86.40  -93.60  -79.20  27.50  25.00  30.00  39.750000  6.329490  62.750000  8.019510  -0.224390  0.096948 
170  8  6  -72.00  -79.20  -64.80  27.50  25.00  30.00  192.750000  14.206100  223.500000  15.136900  -0.073874  0.049774 
171  9  6  -57.60  -64.80  -50.40  27.50  25.00  30.00  360.750000  19.838400  445.750000  21.704000  -0.105394  0.036317 
172  10  6  -43.20  -50.40  -36.00  27.50  25.00  30.00  481.750000  23.066500  583.750000  25.180600  -0.095730  0.031928 
