# Kaon Beam-Spin Asymmetry (KIN-1)
#
# histogram parameters:
# ybins      =  8    | th_xq_CM [deg]
# xbins      =  25    | phi_xq   [deg]
# ybin width =  5.000  (or +/- 2.500 deg)
# xbin width =  14.400  (or +/- 7.200 deg)
#
# header definitions:
# ib:         (x,y)  bin number 
# xb:         x-axis bin number 
# yb:         y-axis bin number 
# x0:         x-axis central bin value 
# xlow:       x-axis low-edge bin value 
# xup:        x-axis up-edge bin value 
# y0:         y-axis central bin value 
# ylow:       y-axis low-edge bin value 
# yup:        y-axis up-edge bin value 
# Np:         pos (+) helicity counts
# Np_err:     pos (+) helicity counts uncertainty
# Nn:         neg (-) helicity counts
# Nn_err:     neg (-) helicity counts uncertainty
# Asy:        Beam-Spin Asymmetry
# Asy_err:    Beam-Spin Asymmetry uncertainty
#
#! ib[i,0]/  xb[i,1]/  yb[i,2]/  x0[f,3]/  xlow[f,4]/  xup[f,5]/  y0[f,6]/  ylow[f,7]/  yup[f,8]/  Np[f,9]/  Np_err[f,10]/  Nn[f,11]/  Nn_err[f,12]/  Asy[f,13]/  Asy_err[f,14]/
148  13  5  0.00  -7.20  7.20  22.50  20.00  25.00  87.250000  10.871400  49.000000  8.888190  0.280734  0.101360 
149  14  5  14.40  7.20  21.60  22.50  20.00  25.00  91.000000  11.113100  71.750000  10.407300  0.118280  0.093480 
150  15  5  28.80  21.60  36.00  22.50  20.00  25.00  132.750000  13.759100  140.250000  14.006700  -0.027473  0.071912 
151  16  5  43.20  36.00  50.40  22.50  20.00  25.00  135.250000  13.872200  159.500000  14.752100  -0.082273  0.068588 
152  17  5  57.60  50.40  64.80  22.50  20.00  25.00  130.250000  13.036000  100.500000  11.826900  0.128927  0.075959 
153  18  5  72.00  64.80  79.20  22.50  20.00  25.00  58.750000  8.385250  54.250000  8.227240  0.039823  0.103962 
154  19  5  86.40  79.20  93.60  22.50  20.00  25.00  16.750000  4.697070  21.000000  4.974940  -0.112583  0.181221 
155  20  5  100.80  93.60  108.00  22.50  20.00  25.00  5.250000  2.487470  3.000000  2.061550  0.272727  0.386304 
156  21  5  115.20  108.00  122.40  22.50  20.00  25.00  2.750000  1.750000  1.000000  1.000000  0.466667  0.463588 
157  22  5  129.60  122.40  136.80  22.50  20.00  25.00  -0.250000  0.250000  -0.250000  0.250000  -0.000000  0.707107 
158  23  5  144.00  136.80  151.20  22.50  20.00  25.00  2.000000  1.414210  -0.250000  0.250000  1.285714  0.399916 
159  24  5  158.40  151.20  165.60  22.50  20.00  25.00  0.500000  1.060660  -0.250000  0.250000  3.000000  9.380830 
160  25  5  172.80  165.60  180.00  22.50  20.00  25.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
163  1  6  -172.80  -180.00  -165.60  27.50  25.00  30.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
164  2  6  -158.40  -165.60  -151.20  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
165  3  6  -144.00  -151.20  -136.80  27.50  25.00  30.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
166  4  6  -129.60  -136.80  -122.40  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
167  5  6  -115.20  -122.40  -108.00  27.50  25.00  30.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
168  6  6  -100.80  -108.00  -93.60  27.50  25.00  30.00  0.500000  1.060660  -0.250000  0.250000  3.000000  9.380830 
169  7  6  -86.40  -93.60  -79.20  27.50  25.00  30.00  11.000000  3.500000  16.000000  4.301160  -0.185185  0.201127 
170  8  6  -72.00  -79.20  -64.80  27.50  25.00  30.00  49.000000  7.681150  40.000000  7.245690  0.101124  0.118552 
171  9  6  -57.60  -64.80  -50.40  27.50  25.00  30.00  107.750000  12.270400  81.000000  10.943000  0.141722  0.086571 
172  10  6  -43.20  -50.40  -36.00  27.50  25.00  30.00  106.250000  12.183500  101.750000  12.023400  0.021635  0.082290 
173  11  6  -28.80  -36.00  -21.60  27.50  25.00  30.00  45.000000  8.514690  62.000000  9.192390  -0.158879  0.117158 
174  12  6  -14.40  -21.60  -7.20  27.50  25.00  30.00  16.500000  5.086750  22.250000  5.760860  -0.148387  0.196863 
175  13  6  0.00  -7.20  7.20  27.50  25.00  30.00  15.250000  4.866980  8.500000  4.513870  0.284211  0.284760 
176  14  6  14.40  7.20  21.60  27.50  25.00  30.00  19.750000  5.482930  22.500000  5.645790  -0.065089  0.186313 
177  15  6  28.80  21.60  36.00  27.50  25.00  30.00  36.000000  7.810250  47.500000  8.177710  -0.137725  0.135854 
178  16  6  43.20  36.00  50.40  27.50  25.00  30.00  88.500000  10.914400  77.000000  10.523800  0.069486  0.091600 
179  17  6  57.60  50.40  64.80  27.50  25.00  30.00  77.500000  10.338000  59.250000  9.562300  0.133455  0.102826 
180  18  6  72.00  64.80  79.20  27.50  25.00  30.00  21.000000  5.099020  28.750000  6.149190  -0.155779  0.157864 
181  19  6  86.40  79.20  93.60  27.50  25.00  30.00  2.250000  1.785360  5.500000  2.474870  -0.419355  0.375891 
182  20  6  100.80  93.60  108.00  27.50  25.00  30.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
183  21  6  115.20  108.00  122.40  27.50  25.00  30.00  -0.500000  0.353553  1.000000  1.000000  -3.000000  4.898978 
184  22  6  129.60  122.40  136.80  27.50  25.00  30.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
185  23  6  144.00  136.80  151.20  27.50  25.00  30.00  1.000000  1.000000  0.500000  1.060660  0.333333  1.042314 
186  24  6  158.40  151.20  165.60  27.50  25.00  30.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
187  25  6  172.80  165.60  180.00  27.50  25.00  30.00  1.000000  1.000000  -0.250000  0.250000  1.666667  1.257079 
190  1  7  -172.80  -180.00  -165.60  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
191  2  7  -158.40  -165.60  -151.20  32.50  30.00  35.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
192  3  7  -144.00  -151.20  -136.80  32.50  30.00  35.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
193  4  7  -129.60  -136.80  -122.40  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
194  5  7  -115.20  -122.40  -108.00  32.50  30.00  35.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
195  6  7  -100.80  -108.00  -93.60  32.50  30.00  35.00  0.750000  1.030780  -0.250000  0.250000  2.000000  2.549516 
196  7  7  -86.40  -93.60  -79.20  32.50  30.00  35.00  1.000000  1.000000  1.250000  1.479020  -0.111111  0.765034 
197  8  7  -72.00  -79.20  -64.80  32.50  30.00  35.00  12.250000  4.264680  13.750000  4.069710  -0.057692  0.227714 
198  9  7  -57.60  -64.80  -50.40  32.50  30.00  35.00  49.750000  8.518360  57.000000  8.916280  -0.067916  0.115425 
199  10  7  -43.20  -50.40  -36.00  32.50  30.00  35.00  29.250000  7.084310  34.750000  7.420410  -0.085938  0.160253 
200  11  7  -28.80  -36.00  -21.60  32.50  30.00  35.00  7.750000  3.783190  8.000000  3.427830  -0.015873  0.324683 
201  12  7  -14.40  -21.60  -7.20  32.50  30.00  35.00  0.750000  1.030780  3.750000  2.304890  -0.666667  0.418208 
202  13  7  0.00  -7.20  7.20  32.50  30.00  35.00  -0.500000  0.353553  0.000000  0.000000  1.000000  0.000000 
203  14  7  14.40  7.20  21.60  32.50  30.00  35.00  4.000000  2.000000  0.250000  1.089720  0.882353  0.485809 
204  15  7  28.80  21.60  36.00  32.50  30.00  35.00  11.500000  4.138240  13.000000  4.387480  -0.061224  0.245751 
205  16  7  43.20  36.00  50.40  32.50  30.00  35.00  34.250000  7.084310  22.750000  6.269970  0.201754  0.165280 
206  17  7  57.60  50.40  64.80  32.50  30.00  35.00  21.000000  5.678910  26.250000  6.299800  -0.111111  0.178548 
207  18  7  72.00  64.80  79.20  32.50  30.00  35.00  5.250000  2.487470  5.500000  2.715700  -0.023256  0.341974 
208  19  7  86.40  79.20  93.60  32.50  30.00  35.00  -0.250000  0.250000  1.750000  1.436140  -1.333333  0.503077 
209  20  7  100.80  93.60  108.00  32.50  30.00  35.00  -0.250000  0.250000  -0.250000  0.250000  -0.000000  0.707107 
210  21  7  115.20  108.00  122.40  32.50  30.00  35.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
211  22  7  129.60  122.40  136.80  32.50  30.00  35.00  1.000000  1.000000  0.000000  0.000000  1.000000  0.000000 
212  23  7  144.00  136.80  151.20  32.50  30.00  35.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
213  24  7  158.40  151.20  165.60  32.50  30.00  35.00  -0.250000  0.250000  0.000000  0.000000  1.000000  0.000000 
214  25  7  172.80  165.60  180.00  32.50  30.00  35.00  0.000000  0.000000  -0.250000  0.250000  -1.000000  0.000000 
217  1  8  -172.80  -180.00  -165.60  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
218  2  8  -158.40  -165.60  -151.20  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
219  3  8  -144.00  -151.20  -136.80  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
220  4  8  -129.60  -136.80  -122.40  37.50  35.00  40.00  0.000000  0.000000  1.000000  1.000000  -1.000000  0.000000 
221  5  8  -115.20  -122.40  -108.00  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
222  6  8  -100.80  -108.00  -93.60  37.50  35.00  40.00  0.000000  0.000000  0.000000  0.000000  nan  nan 
223  7  8  -86.40  -93.60  -79.20  37.50  35.00  40.00  0.250000  1.089720  0.000000  0.000000  1.000000  0.000000 
224  8  8  -72.00  -79.20  -64.80  37.50  35.00  40.00  -0.500000  0.353553  1.000000  1.000000  -3.000000  4.898978 
225  9  8  -57.60  -64.80  -50.40  37.50  35.00  40.00  10.750000  4.451120  9.250000  3.733300  0.075000  0.287483 
226  10  8  -43.20  -50.40  -36.00  37.50  35.00  40.00  7.000000  3.082210  4.000000  2.291290  0.272727  0.334379 
227  11  8  -28.80  -36.00  -21.60  37.50  35.00  40.00  0.000000  0.000000  1.750000  1.436140  -1.000000  0.000000 
